Pie

1
Pie:	37.013223973376036
Gou:	27.36935829770161
Wan:	-39.48697967958961
HengPie:	-114.87174034381864
Heng:	-116.98241494312418
HengGou:	-124.29761277118278
ShuZheZheGou:	-125.78422647140303
Shu:	-129.2126979736194
Dian:	-143.04022473052711
HengZhe:	-147.90274013755402
Na:	-149.07167811429468
ShuZhe:	-161.8130520415557
ShuWanGou:	-184.7156264982828
HengZheTi:	-190.18905845003542
HengZheWanGou:	-211.343134829533
Ti:	-228.37454110141977


2
Pie:	13.367264503436147
Gou:	-28.477944912730642
Wan:	-151.05966028294915
Heng:	-206.92498998741164
HengGou:	-225.238002377704
HengPie:	-241.59931018520157
ShuZheZheGou:	-263.76367296848736
Shu:	-273.79013306540395
HengZhe:	-278.45919207707976
Na:	-288.0984192818638
Dian:	-288.51661460125484
ShuZhe:	-306.6988540488973
Ti:	-317.9220283241193
ShuWanGou:	-329.8404713172941
HengZheWanGou:	-340.5035079442292
HengZheTi:	-349.95342031903283


3
Pie:	20.509590507021038
Gou:	-16.83896226532871
Wan:	-119.68273290337206
Heng:	-179.65646394680746
HengGou:	-198.4418506681269
HengPie:	-209.74750082214422
Shu:	-230.31248761108736
ShuZheZheGou:	-231.8091223421386
HengZhe:	-244.03569948109217
Na:	-246.69541799445602
Dian:	-250.26114709404436
ShuZhe:	-265.04404725160674
ShuWanGou:	-282.7313639801121
Ti:	-284.15453279475014
HengZheWanGou:	-297.5747306328098
HengZheTi:	-300.4452637945507


4
Pie:	30.377343199669767
Gou:	-0.731018107024525
Wan:	-99.7594244971042
Heng:	-162.91402661725783
HengGou:	-176.72617613189908
HengPie:	-189.1653965935272
Shu:	-201.76781838720993
ShuZheZheGou:	-202.2495251682676
HengZhe:	-219.27237182988847
Na:	-225.6550977380578
Dian:	-226.61989868572715
ShuZhe:	-243.00498826271175
Ti:	-266.6578028626476
ShuWanGou:	-269.61657035144754
HengZheTi:	-281.7563841540814
HengZheWanGou:	-286.7745795294467


5
Pie:	46.518204807844285
Gou:	43.069949499083855
Wan:	-5.814862002998865
HengPie:	-79.90090407645035
Shu:	-80.80914254411209
ShuZheZheGou:	-84.67780949590087
Heng:	-86.34353722801754
HengGou:	-92.61127062375776
Dian:	-99.7719114372538
Na:	-103.61722456644824
HengZhe:	-107.42707370690385
ShuZhe:	-115.56777712911233
ShuWanGou:	-136.5304559106427
HengZheTi:	-139.83051222049306
HengZheWanGou:	-166.50421638486557
Ti:	-189.88103085330823



6
Pie:	27.52154621469308
Gou:	10.478624575983929
Wan:	-75.63415474025511
Heng:	-151.1307605264053
HengPie:	-152.58518173657868
HengGou:	-160.65736752318142
ShuZheZheGou:	-168.74870770615615
Shu:	-183.41736520681303
Dian:	-189.916953705573
HengZhe:	-191.71048947595773
Na:	-197.20823205735223
ShuZhe:	-211.44862248585247
ShuWanGou:	-234.11744677429658
HengZheTi:	-243.29120171754823
HengZheWanGou:	-253.95507290525387
Ti:	-269.5451401089605


7
Pie:	34.152537816712
Gou:	16.385567656126852
Wan:	-57.51454331385207
Heng:	-131.68909018619212
HengPie:	-136.84519672635668
HengGou:	-142.9997737995491
ShuZheZheGou:	-146.83418740125938
Shu:	-148.96809910405315
Dian:	-165.02413862550839
Na:	-167.7826144360148
HengZhe:	-168.99390791293112
ShuZhe:	-179.24653128018582
ShuWanGou:	-199.44319401681298
HengZheTi:	-212.32480970034214
HengZheWanGou:	-225.61535423889052
Ti:	-241.7382029280362



8
Pie:	30.110690134259674
Gou:	6.679635208432558
Wan:	-79.65372435193792
Heng:	-149.7492594590052
HengPie:	-162.16033754925857
HengGou:	-162.6998990066254
ShuZheZheGou:	-174.69161057546813
Shu:	-178.75264385617285
Dian:	-195.01881190995817
HengZhe:	-195.39540580183015
Na:	-197.16307889686533
ShuZhe:	-210.30759264905336
ShuWanGou:	-232.04077531616204
HengZheTi:	-246.13307432375348
HengZheWanGou:	-254.034142850006
Ti:	-260.1568390006564


9
Pie:	34.947921881159104
Gou:	25.243493294975913
Wan:	-44.681655138123816
HengPie:	-119.13154019226819
Heng:	-125.01815052228572
ShuZheZheGou:	-129.05254273350283
HengGou:	-132.72031965494256
Shu:	-142.20102749132275
Dian:	-150.70341344686844
HengZhe:	-154.42646261844527
Na:	-158.00618195785302
ShuZhe:	-169.9189326288661
ShuWanGou:	-192.29416690830212
HengZheTi:	-198.6305802150754
HengZheWanGou:	-213.35309271045216
Ti:	-240.32125890328612


10
Pie:	28.24423637291152
Gou:	6.361518285064548
Wan:	-82.33712945481794
Heng:	-153.01073870678078
HengPie:	-163.4034753574689
HengGou:	-164.39761841340288
ShuZheZheGou:	-177.998501671472
Shu:	-184.98421060940026
HengZhe:	-198.67106966367623
Dian:	-198.75545705736235
Na:	-202.97119467425028
ShuZhe:	-216.8743579788519
ShuWanGou:	-240.1678856894106
HengZheTi:	-251.9822811737493
HengZheWanGou:	-261.6864110670564
Ti:	-266.1706700542571


