@relation 'TT-weka.filters.unsupervised.attribute.Remove-R1-11,13-14,16-20,22-23,25-28,30-33,35-39,41-71,73-86'

@attribute f12 numeric
@attribute f15 numeric
@attribute f21 numeric
@attribute rubine_ShuZhe numeric
@attribute rubine_Gou numeric
@attribute rubine_Shu numeric
@attribute long_ShuZhe numeric
@attribute dollar_ShuZhe numeric
@attribute class {HengZheTi,ShuZhe,ShuZheZheGou,Heng,Ti,HengGou,Gou,HengZhe,ShuWanGou,HengZheWanGou,Dian,Shu,HengPie,Wan,Pie,Na}

@data
2.95252,1.009342,5.114877,0.574479,0.205129,0.41852,0.521431,0.780177,Heng
3.093684,1.012288,4.996968,0.648473,0.214405,0.258,0.501472,0.650236,Heng
2.999696,1.010588,5.101187,0.587217,0.204602,0.370914,0.509895,0.725947,Heng
3.049142,1.00727,5.028803,0.589061,0.205362,0.310555,0.483374,0.721144,Heng
3.059904,1.005396,5.150386,0.584425,0.197149,0.312273,0.487971,0.70821,Heng
3.083686,1.004056,5.338444,0.575187,0.179155,0.312855,0.498058,0.713507,Heng
3.101878,1.010047,5.028065,0.617494,0.220663,0.241662,0.476686,0.635924,Heng
2.849494,1.012246,5.018298,0.575443,0.20583,0.505287,0.558648,0.741651,Heng
3.085314,1.007168,4.964554,0.591741,0.200672,0.265901,0.466032,0.669836,Heng
3.102065,1.009084,5.185974,0.587379,0.192093,0.267092,0.47547,0.63584,Heng
3.117376,1.020276,5.686793,0.539204,0.153304,0.311243,0.505163,0.686473,Heng
3.117058,1.001544,5.095594,0.59091,0.196751,0.24093,0.461324,0.716003,Heng
3.092452,1.011498,5.221455,0.595578,0.192031,0.28342,0.489387,0.641992,Heng
3.016534,1.008814,5.181402,0.601647,0.187016,0.370472,0.522716,0.638297,Heng
3.043747,1.024782,5.120502,0.695471,0.209179,0.338091,0.573437,0.63884,Heng
3.125721,1.005037,4.841306,0.624689,0.208829,0.207404,0.453891,0.652952,Heng
3.127895,1.000798,4.984498,0.596793,0.202974,0.21631,0.448741,0.650047,Heng
2.253615,1.011662,4.582946,0.269235,0.236783,0.499382,0.279257,0.436292,Ti
2.450802,1.017103,4.594848,0.281763,0.177392,0.471121,0.299009,0.509714,Ti
2.227655,1.015146,4.667176,0.266019,0.242845,0.501885,0.278532,0.418765,Ti
2.107905,1.01749,4.657739,0.262229,0.26879,0.514911,0.271369,0.441738,Ti
1.934775,1.009021,4.507554,0.246373,0.306224,0.528186,0.257738,0.433263,Ti
2.074196,1.01234,4.37882,0.252118,0.280733,0.514681,0.26372,0.406112,Ti
2.317752,1.017329,4.315737,0.273718,0.22066,0.486113,0.280943,0.562646,Ti
2.125478,1.003432,4.687654,0.249093,0.267582,0.511168,0.268373,0.446144,Ti
2.069449,1.004626,4.749586,0.248718,0.279085,0.518381,0.265346,0.444257,Ti
2.2702,1.008328,4.419012,0.263837,0.233886,0.492339,0.27341,0.435717,Ti
2.280581,1.00406,4.543141,0.264596,0.230797,0.493968,0.273404,0.47332,Ti
2.378413,1.007497,4.566417,0.273954,0.202674,0.481082,0.283916,0.529858,Ti
2.005467,1.007968,4.824039,0.25325,0.28845,0.5257,0.263028,0.439772,Ti
2.299437,1.003577,4.829093,0.271669,0.224365,0.5001,0.283137,0.421376,Ti
2.168874,1.009623,4.711089,0.254246,0.258741,0.509089,0.272382,0.460544,Ti
2.372586,1.009356,4.466894,0.273505,0.204555,0.480258,0.281223,0.444354,Ti
1.960344,1.010648,4.642343,0.243632,0.298737,0.524306,0.257783,0.414881,Ti
2.412473,1.007876,4.618683,0.277209,0.192208,0.476094,0.29146,0.457283,Ti
2.142134,1.010945,4.614654,0.253041,0.263582,0.50828,0.268993,0.432967,Ti
2.051684,1.004404,4.646561,0.249568,0.282421,0.518545,0.263483,0.444914,Ti
2.900475,1.553938,5.070548,0.822452,0.284847,0.392693,0.736684,0.599325,HengGou
2.893303,2.513278,4.711938,0.878122,0.363282,0.434274,0.729911,0.408576,HengGou
2.603085,2.242315,4.915553,0.844001,0.518341,0.573345,0.812523,0.371032,HengGou
2.937085,1.864804,5.235475,0.609062,0.273886,0.294561,0.594615,0.427592,HengGou
2.973386,1.487897,4.906045,0.706921,0.302528,0.309038,0.635189,0.590952,HengGou
3.041924,1.346364,5.365104,0.639129,0.239156,0.268773,0.603193,0.762922,HengGou
2.913096,1.660357,5.1552,0.692723,0.286238,0.350544,0.657776,0.837079,HengGou
2.886044,1.83258,5.05031,0.711022,0.342829,0.364722,0.655678,0.684526,HengGou
2.847358,2.83848,5.341086,0.776464,0.410312,0.414585,0.723442,0.699069,HengGou
2.990469,1.394928,5.497302,0.664424,0.254839,0.31735,0.647822,0.627883,HengGou
3.003856,1.556798,4.856732,0.643717,0.247877,0.25093,0.563356,0.653241,HengGou
2.975206,1.496986,5.100825,0.632352,0.273514,0.289698,0.599424,0.578082,HengGou
2.965152,1.578669,5.101804,0.662613,0.272063,0.299358,0.611558,0.554078,HengGou
2.915701,1.738702,5.379368,0.666131,0.282355,0.326781,0.65003,0.723093,HengGou
2.960039,1.516076,5.570335,0.649987,0.254455,0.339652,0.64497,0.570854,HengGou
2.896614,1.862748,5.246834,0.715415,0.279729,0.355718,0.670377,0.465501,HengGou
2.881394,1.357954,5.269776,0.810374,0.274597,0.433323,0.783855,0.852948,HengGou
3.006065,1.369612,5.078015,0.623968,0.257387,0.284085,0.590666,0.944194,HengGou
2.980218,1.638202,5.135627,0.674396,0.301323,0.287734,0.617001,0.534071,HengGou
2.889903,1.747824,5.255535,0.708791,0.293405,0.347432,0.675628,0.791549,HengGou
1.708222,1.907617,4.839853,0.646828,0.764138,0.940722,0.626457,0.184595,Gou
1.860067,3.072648,4.921489,0.382632,1,0.659784,0.305591,0.597892,Gou
1.730709,1.461127,5.023044,0.720799,0.684878,1,0.692421,0.364652,Gou
1.965587,2.249428,5.232411,0.44785,1,0.656546,0.487819,0.449433,Gou
1.981262,1.909416,5.100942,0.438308,1,0.636543,0.48134,0.451371,Gou
1.795031,1.260362,4.230902,0.661312,0.818847,0.891518,0.480156,0.104138,Gou
1.784465,1.742386,4.953652,0.594972,0.863061,0.87464,0.569313,0.209808,Gou
2.153349,1.97075,4.988018,0.18621,1,0.392519,0.283879,0.222201,Gou
1.781227,1.852055,4.960859,0.874715,0.609391,1,0.787272,0.198415,Gou
1.793697,1.988572,5.36042,0.876411,0.645035,0.995248,0.778501,0.366801,Gou
1.786881,1.32382,4.610302,0.69345,0.790902,0.923403,0.597082,0.212603,Gou
2.001261,3.73035,5.230322,0.081832,1,0.395867,0.207675,0.592386,Gou
2.058249,2.631682,4.983479,0.409272,1,0.557539,0.399856,0.409146,Gou
2.070143,2.420571,4.598467,0.193405,1,0.424971,0.24731,0.145879,Gou
1.728024,1.185968,4.524466,0.749245,0.653308,1,0.567817,0.374574,Gou
1.805695,1.5122,5.025342,0.660035,0.808461,0.890854,0.668757,0.470798,Gou
1.742556,1.496395,4.815766,0.799072,0.642662,1,0.745341,0.477774,Gou
2.067673,2.477956,5.520246,0.163026,1,0.409995,0.317475,0.174742,Gou
1.884417,1.248897,4.905933,0.590979,0.912507,0.835673,0.518328,0.206959,Gou
2.093585,1.636604,4.482293,0.360712,1,0.525817,0.370569,0.382938,Gou
2.588298,1.711223,5.424836,0.916336,0.356611,0.591005,0.924919,0.649914,HengZhe
2.520616,1.681652,5.440715,0.945144,0.359448,0.629077,0.957201,0.549899,HengZhe
2.699681,1.666749,5.666832,0.892874,0.287057,0.54922,0.897794,0.657852,HengZhe
2.650429,1.715745,5.342658,0.904742,0.297513,0.579267,0.908754,0.624567,HengZhe
2.372322,1.850993,5.576018,0.910968,0.52299,0.681638,0.93491,0.33282,HengZhe
2.701352,1.534806,5.869912,0.874725,0.268614,0.559118,0.888139,0.503639,HengZhe
2.688389,1.818521,5.499304,0.846739,0.385259,0.528397,0.851939,0.724389,HengZhe
2.37506,2.007835,4.751068,0.910738,0.493209,0.686135,0.909375,0.446675,HengZhe
2.59244,1.577522,5.399585,0.877569,0.31114,0.580369,0.914733,0.616009,HengZhe
2.532526,1.795054,5.659759,0.92798,0.370357,0.616622,0.936981,0.514978,HengZhe
2.449382,1.874013,5.423326,0.908584,0.42938,0.649912,0.925728,0.425152,HengZhe
2.749893,1.660628,5.335509,0.85943,0.294128,0.525189,0.863264,0.660046,HengZhe
2.475623,1.768589,5.557272,0.949915,0.459304,0.664467,0.959191,0.497665,HengZhe
2.60626,2.006556,5.505255,0.873492,0.376528,0.564442,0.865781,0.558686,HengZhe
2.505942,1.85453,5.70821,0.923173,0.374095,0.622418,0.933234,0.483043,HengZhe
